Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71
/ | home | alita555 | ALE_Finalproject_bioinf | QC | fastqc_results | 39bd-b_S1_L001_R2_001 - illumina_universal_adapter	(1, 0.007989504314332329)	(2, 0.008830504768472575)	(3, 0.010092005449682943)	(4, 0.010933005903823187)	(5, 0.011774006357963433)	(6, 0.012194506585033555)	(7, 0.012194506585033555)	(8, 0.013035507039173801)	(9, 0.01429700772038417)	(10, 0.016399508855734782)	(12, 0.01913276033169058)	(14, 0.021866011807646378)	(16, 0.034901518846820176)	(18, 0.043311523388222625)	(20, 0.05550602997325618)	(22, 0.07169528871545591)	(24, 0.0771617916673675)	(26, 0.08578204632230502)	(28, 0.09061779893361142)	(30, 0.09797655290733856)	(32, 0.11101205994651236)	(34, 0.1282525692563874)	(36, 0.14969808083696365)	(38, 0.1677795906009789)	(40, 0.20457336046961466)	(42, 0.2665971439624577)	(44, 0.3128521689401712)	(46, 0.35574319210132377)	(48, 0.4265974803626394)	(50, 0.5233125325887675)	(52, 0.6376885943518409)	(54, 0.7768741695120516)	(56, 0.9177417455805426)	(58, 1.0758498309589086)	(60, 1.2884126957428559)	(62, 1.5384000807360436)	(64, 1.8024742233360804)	(66, 2.054143609237549)	(68, 2.299925991960036)	(70, 2.58838914773014)	(72, 2.9634753502766893)	(74, 3.380821825643786)	(76, 3.750441525238424)	(78, 4.108917968815703)	(80, 4.498721679309707)	(82, 5.021403461557869)	(84, 5.6239802869493545)	(86, 6.1927068440616955)	(88, 6.708870872790271)	(90, 7.250264915143054)	(92, 7.901409516761139)	(94, 8.70898020284931)	(96, 9.470716364186837)	(98, 10.156341984424671)	(100, 10.882545876574774)	(102, 11.71030057356231)	(104, 12.61710931323903)	(106, 13.58341883504617)	(108, 14.37311826148386)	(110, 15.186996450978082)	(112, 16.089810438497636)	(114, 17.110784989823895)	(116, 18.154466553411936)	(118, 19.06758279649471)	(120, 19.923511008695947)	(122, 20.7657729635174)	(124, 21.6862479605739)	(126, 22.662649487830723)	(128, 23.49418868686189)	(130, 24.205885321178073)	(132, 24.91947420651607)	(134, 25.596689822212504)
/ | home | alita555 | ALE_Finalproject_bioinf | QC | fastqc_results | 39bd-b_S1_L001_R2_001 - polya	(1, 0.010092005449682943)	(2, 0.011353506130893311)	(3, 0.011774006357963433)	(4, 0.012194506585033555)	(5, 0.013035507039173801)	(6, 0.013876507493314046)	(7, 0.016820009082804906)	(8, 0.018081509764015274)	(9, 0.018922510218155518)	(10, 0.019763510672295762)	(12, 0.019973760785830824)	(14, 0.020814761239971072)	(16, 0.022076261921181436)	(18, 0.02565051385127748)	(20, 0.027542764873093033)	(22, 0.02859401544076834)	(24, 0.02859401544076834)	(26, 0.02859401544076834)	(28, 0.028804265554303397)	(30, 0.029435015894908583)	(32, 0.029435015894908583)	(34, 0.029855516121978704)	(36, 0.031327266916724134)	(38, 0.034901518846820176)	(40, 0.04036802179873177)	(42, 0.043732023615292756)	(44, 0.045414024523573245)	(46, 0.04604477486417843)	(48, 0.04667552520478361)	(50, 0.0473062755453888)	(52, 0.047726775772458915)	(54, 0.04877802634013422)	(56, 0.04877802634013422)	(58, 0.04940877668073941)	(60, 0.05024977713487966)	(62, 0.05046002724841472)	(64, 0.050880527475484834)	(66, 0.050880527475484834)	(68, 0.052142028156695205)	(70, 0.05235227827023027)	(72, 0.05277277849730039)	(74, 0.05424452929204582)	(76, 0.058029031335676926)	(78, 0.06076228281163272)	(80, 0.06265453383344827)	(82, 0.06370578440112357)	(84, 0.065177535195869)	(86, 0.06664928599061443)	(88, 0.06854153701242999)	(90, 0.06917228735303517)	(92, 0.07001328780717542)	(94, 0.0733772896237364)	(96, 0.07590029098615714)	(98, 0.07758229189443763)	(100, 0.07800279212150774)	(102, 0.07905404268918306)	(104, 0.0798950431433233)	(106, 0.08199754427867392)	(108, 0.08452054564109465)	(110, 0.08557179620876995)	(112, 0.08725379711705045)	(114, 0.09145879938775167)	(116, 0.0939818007501724)	(118, 0.09818680302087363)	(120, 0.10176105495096968)	(122, 0.10407380619985535)	(124, 0.10785830824348645)	(126, 0.11290431096832793)	(128, 0.11710931323902915)	(130, 0.11900156426084471)	(132, 0.12152456562326544)	(134, 0.12425781709922123)
/ | home | alita555 | ALE_Finalproject_bioinf | QC | fastqc_results | 39bd-b_S1_L001_R2_001 - polyg	(1, 12.625098817553361)	(2, 12.626360318234571)	(3, 12.626780818461642)	(4, 12.626780818461642)	(5, 12.627621818915783)	(6, 12.629303819824063)	(7, 12.630144820278202)	(8, 12.630985820732343)	(9, 12.637713824365465)	(10, 12.649067330496358)	(12, 12.673876843893495)	(14, 12.678081846164197)	(16, 12.67913309673187)	(18, 12.680604847526617)	(20, 12.68565085025146)	(22, 12.691748103543976)	(24, 12.694060854792863)	(26, 12.696373606041746)	(28, 12.699106857517702)	(30, 12.700578608312448)	(32, 12.70226060922073)	(34, 12.703732360015476)	(36, 12.704993860696685)	(38, 12.706465611491431)	(40, 12.706675861604966)	(42, 12.70856811262678)	(44, 12.711301364102736)	(46, 12.715506366373438)	(48, 12.719080618303533)	(50, 12.731905875229172)	(52, 12.750197635106723)	(54, 12.777109649639211)	(56, 12.805913915193514)	(58, 12.817267421324408)	(60, 12.83114392881772)	(62, 12.841866684608009)	(64, 12.852589440398297)	(66, 12.865414697323937)	(68, 12.885388458109768)	(70, 12.91335172320993)	(72, 12.935848485358182)	(74, 12.974744756362167)	(76, 13.036137789514406)	(78, 13.093115570282407)	(80, 13.176164365128757)	(82, 13.243864901687047)	(84, 13.32586244596572)	(86, 13.413746993423377)	(88, 13.523707802802214)	(90, 13.642709367063059)	(92, 13.781053941769128)	(94, 13.945049030326476)	(96, 14.1304896304644)	(98, 14.327493986846754)	(100, 14.521554841639613)	(102, 14.705103190755722)	(104, 14.91976855667502)	(106, 15.197719206768372)	(108, 15.509520125140867)	(110, 15.800085782046322)	(112, 16.069626427598273)	(114, 16.36334583620675)	(116, 16.721822279784032)	(118, 17.109102988915616)	(120, 17.49680419827427)	(122, 17.87483390241031)	(124, 18.227843843035675)	(126, 18.6201705548921)	(128, 19.05664979059089)	(130, 19.430894992683296)	(132, 19.743747161623467)	(134, 20.00340605183927)
/ | home | alita555 | ALE_Finalproject_bioinf | QC | fastqc_results | 42bd-b_S3_L001_R1_001 - illumina_universal_adapter	(1, 0.002566561437647723)	(2, 0.002799885204706607)	(3, 0.012599483421179732)	(4, 0.01423274979059192)	(5, 0.014932721091768571)	(6, 0.019832520200005133)	(7, 0.02099913903529955)	(8, 0.02099913903529955)	(9, 0.02333237670588839)	(10, 0.026598909444712767)	(12, 0.03103206101883156)	(14, 0.040481673584716354)	(16, 0.044098191974129064)	(18, 0.04596478211060013)	(20, 0.05833094176472098)	(22, 0.061947460154133674)	(24, 0.06626394984472303)	(26, 0.06906383504942964)	(28, 0.07291367720590122)	(30, 0.08551316062708095)	(32, 0.11152876065414652)	(34, 0.1527104055400395)	(36, 0.20147507285534627)	(38, 0.27403876441065916)	(40, 0.41764954303540225)	(42, 0.6632228078648775)	(44, 0.9273453121755342)	(46, 1.2074504945297244)	(48, 1.540170186355693)	(50, 1.9384538567252076)	(52, 2.4524661155559286)	(54, 2.997277111638423)	(56, 3.5781366297315143)	(58, 4.222460212464622)	(60, 4.939114162985984)	(62, 5.807195238328562)	(64, 6.7484233146441)	(66, 7.696767765854934)	(68, 8.630296157857527)	(70, 9.653304214527203)	(72, 10.773958267711023)	(74, 11.933110742459558)	(76, 13.093779821693978)	(78, 14.226683372648388)	(80, 15.361803499389858)	(82, 16.655467125847842)	(84, 18.066142621485852)	(86, 19.40238783543208)	(88, 20.678552179360643)	(90, 21.960432955582156)	(92, 23.321760474487213)	(94, 24.703503823009925)	(96, 26.012216832443205)	(98, 27.241366437309402)	(100, 28.47646579823561)	(102, 29.70433212238298)	(104, 31.046643754272743)	(106, 32.33459094843778)	(108, 33.52454216043809)	(110, 34.70446045045486)	(112, 35.89569494317399)	(114, 37.11224506461902)	(116, 38.310479270349916)	(118, 39.46368198903845)	(120, 40.52122196323284)	(122, 41.59766116255901)	(124, 42.719831820228706)	(126, 43.806770589072514)	(128, 44.77471423671629)	(130, 45.75070755432361)	(132, 46.68330265125797)	(134, 47.58684893919349)
/ | home | alita555 | ALE_Finalproject_bioinf | QC | fastqc_results | 42bd-b_S3_L001_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.00046664753411776786)	(4, 0.00046664753411776786)	(5, 0.0006999713011766517)	(6, 0.0006999713011766517)	(7, 0.0006999713011766517)	(8, 0.0006999713011766517)	(9, 0.0006999713011766517)	(10, 0.0006999713011766517)	(12, 0.0006999713011766517)	(14, 0.0013999426023533035)	(16, 0.0013999426023533035)	(18, 0.0013999426023533035)	(20, 0.0013999426023533035)	(22, 0.0013999426023533035)	(24, 0.0013999426023533035)	(26, 0.0013999426023533035)	(28, 0.0013999426023533035)	(30, 0.0013999426023533035)	(32, 0.0013999426023533035)	(34, 0.0013999426023533035)	(36, 0.0013999426023533035)	(38, 0.0013999426023533035)	(40, 0.0013999426023533035)	(42, 0.0013999426023533035)	(44, 0.0016332663694121874)	(46, 0.0016332663694121874)	(48, 0.0018665901364710714)	(50, 0.0018665901364710714)	(52, 0.0018665901364710714)	(54, 0.002683223321177165)	(56, 0.003033208971765491)	(58, 0.004433151574118795)	(60, 0.004783137224707121)	(62, 0.006299741710589866)	(64, 0.007349698662354844)	(66, 0.03838175968118641)	(68, 0.4779637368201237)	(70, 0.7909675703296164)	(72, 0.8299326394284501)	(74, 1.0007256369155533)	(76, 5.183520808980165)	(78, 5.207786480754288)	(80, 5.231352181227237)	(82, 5.256784471836655)	(84, 5.2835000431648975)	(86, 5.312782175930787)	(88, 5.355830410953152)	(90, 5.414861324019048)	(92, 5.482525216466125)	(94, 5.552755670350849)	(96, 5.622986124235573)	(98, 5.699866305481475)	(100, 5.796229021276794)	(102, 5.906707824979176)	(104, 6.03340263049215)	(106, 6.1763134378157165)	(108, 6.343723240680466)	(110, 6.552781335965225)	(112, 6.778405418711166)	(114, 7.0331949723394676)	(116, 7.335232588797193)	(118, 7.692684599931403)	(120, 8.095518083758567)	(122, 8.529500290488091)	(124, 8.9729321097835)	(126, 9.482511217040102)	(128, 10.080170046361431)	(130, 10.708744274818066)	(132, 11.41676524595825)	(134, 12.100637207207837)
/ | home | alita555 | ALE_Finalproject_bioinf | QC | fastqc_results | 42bd-b_S3_L001_R2_001 - illumina_universal_adapter	(1, 0.002566561437647723)	(2, 0.002799885204706607)	(3, 0.012832807188238616)	(4, 0.014466073557650803)	(5, 0.015166044858827455)	(6, 0.020065843967064016)	(7, 0.021232462802358437)	(8, 0.021232462802358437)	(9, 0.02333237670588839)	(10, 0.026482247561183322)	(12, 0.03103206101883156)	(14, 0.040714997351775244)	(16, 0.044331515741187946)	(18, 0.04619810587765902)	(20, 0.05833094176472098)	(22, 0.061947460154133674)	(24, 0.06626394984472303)	(26, 0.06906383504942964)	(28, 0.07303033908943067)	(30, 0.08562982251061041)	(32, 0.11187874630473484)	(34, 0.15329371495768673)	(36, 0.2024083679235818)	(38, 0.27450541194477696)	(40, 0.41706623361775497)	(42, 0.6621728509131126)	(44, 0.9239621175531803)	(46, 1.2002174577508988)	(48, 1.5280373504686309)	(50, 1.917221393922849)	(52, 2.422134025838274)	(54, 2.958545366306648)	(56, 3.5319385238538556)	(58, 4.1601627666599)	(60, 4.86678379519773)	(62, 5.718648868729716)	(64, 6.647744109158191)	(66, 7.58442237201608)	(68, 8.498818215119847)	(70, 9.50362701795893)	(72, 10.601182018203922)	(74, 11.738635382615978)	(76, 12.874688804425684)	(78, 13.986359892577738)	(80, 15.093364505388612)	(82, 16.350279638534822)	(84, 17.72164007942341)	(86, 19.02393668526257)	(88, 20.26346919776289)	(90, 21.508718142556155)	(92, 22.828164045274143)	(94, 24.166275849356843)	(96, 25.432290609418345)	(98, 26.618741964912772)	(100, 27.810443105166023)	(102, 28.98581158172515)	(104, 30.27842525123137)	(106, 31.51935770633404)	(108, 32.652611242939045)	(110, 33.77653182886168)	(112, 34.903835609406684)	(114, 36.0585549325811)	(116, 37.18352547545551)	(118, 38.242698716019305)	(120, 39.20737583092426)	(122, 40.16808644178922)	(124, 41.11351434591182)	(126, 42.01706063384735)	(128, 42.77606284808989)	(130, 43.473234264061844)	(132, 44.10542501090789)	(134, 44.66225218099391)
/ | home | alita555 | ALE_Finalproject_bioinf | QC | fastqc_results | 42bd-b_S3_L001_R2_001 - polyg	(1, 5.1419891784436835)	(2, 5.143622444813096)	(3, 5.143622444813096)	(4, 5.144089092347214)	(5, 5.145722358716626)	(6, 5.1459556824836845)	(7, 5.146655653784862)	(8, 5.14688897755192)	(9, 5.149222215222509)	(10, 5.152955395495452)	(12, 5.156921899535452)	(14, 5.157155223302511)	(16, 5.157971856487217)	(18, 5.158555165904865)	(20, 5.159838446623688)	(22, 5.160655079808395)	(24, 5.160655079808395)	(26, 5.1610050654589825)	(28, 5.162521669944866)	(30, 5.162754993711925)	(32, 5.163221641246042)	(34, 5.163454965013101)	(36, 5.16368828878016)	(38, 5.164154936314278)	(40, 5.164854907615455)	(42, 5.165321555149572)	(44, 5.166254850217808)	(46, 5.1670714834025135)	(48, 5.168471426004867)	(50, 5.16987136860722)	(52, 5.170338016141338)	(54, 5.172554591928398)	(56, 5.176871081618987)	(58, 5.179087657406047)	(60, 5.180954247542518)	(62, 5.182004204494282)	(64, 5.184804089698989)	(66, 5.187253989253108)	(68, 5.191103831409579)	(70, 5.1974035731201695)	(72, 5.206503200035465)	(74, 5.22633572023547)	(76, 5.269150631490776)	(78, 5.332148048596674)	(80, 5.425127569769639)	(82, 5.518223752826135)	(84, 5.633719017520281)	(86, 5.811628389902681)	(88, 6.011703520155674)	(90, 6.241410768825144)	(92, 6.527932354773454)	(94, 6.878151329128839)	(96, 7.306883751099538)	(98, 7.8238125570184955)	(100, 8.366056991663342)	(102, 8.978881865843501)	(104, 9.602789618958957)	(106, 10.36727494172739)	(108, 11.21179031659702)	(110, 12.076371535433715)	(112, 12.978634542650418)	(114, 13.915662791158894)	(116, 14.904955563488564)	(118, 15.985361266854724)	(120, 17.091082598946777)	(122, 18.161455380329407)	(124, 19.173380558063787)	(126, 20.212721278427583)	(128, 21.20679718798196)	(130, 22.089577660649248)	(132, 22.874362151151804)	(134, 23.48707036344843)
/ | home | alita555 | ALE_Finalproject_bioinf | QC | fastqc_results | 59-b_S14_L001_R1_001 - illumina_universal_adapter	(1, 0.002325898212048817)	(2, 0.0026581693851986483)	(3, 0.0192717280426902)	(4, 0.02259443977418851)	(5, 0.02492033798623733)	(6, 0.031233490276084117)	(7, 0.0332271173149831)	(8, 0.0342239308344326)	(9, 0.036549829046481415)	(10, 0.04053708312427939)	(12, 0.04419206602892753)	(14, 0.047847048933575664)	(16, 0.05200043859794856)	(18, 0.056153828262321445)	(20, 0.07559169189158656)	(22, 0.08423074239348216)	(24, 0.09071003026990387)	(26, 0.0985184028389249)	(28, 0.1144674191501168)	(30, 0.14071684182895344)	(32, 0.18789934841622946)	(34, 0.24122887170677731)	(36, 0.2919002256121266)	(38, 0.34406679979665006)	(40, 0.4294604912961566)	(42, 0.5779857056941311)	(44, 0.7353161061805761)	(46, 0.8881608458294984)	(48, 1.0554593815104383)	(50, 1.2495057466299397)	(52, 1.5035270585029854)	(54, 1.7763216916589968)	(56, 2.0778577812924683)	(58, 2.402985124219578)	(60, 2.7603427709422212)	(62, 3.208244312348193)	(64, 3.6898713778288736)	(66, 4.204725560624537)	(68, 4.760116826544479)	(70, 5.371329649553594)	(72, 6.039194707584754)	(74, 6.767865390302333)	(76, 7.5661468837948025)	(78, 8.346651869523756)	(80, 9.188460886698852)	(82, 10.140251662186543)	(84, 11.170624570124168)	(86, 12.207975172697942)	(88, 13.19814326868444)	(90, 14.24596041321243)	(92, 15.387644164155251)	(94, 16.588638319505314)	(96, 17.81654643988052)	(98, 19.035317102994092)	(100, 20.293129628952784)	(102, 21.573868865858806)	(104, 22.910429659854003)	(106, 24.218913539718034)	(108, 25.534042843045064)	(110, 26.82059682548121)	(112, 28.087712944288093)	(114, 29.406497230519772)	(116, 30.74555005831359)	(118, 32.02429566818071)	(120, 33.24256792453457)	(122, 34.47180512960237)	(124, 35.76467226432837)	(126, 37.02231865470047)	(128, 38.23510843669736)	(130, 39.42480537216033)	(132, 40.589415834050484)	(134, 41.601347691878296)
/ | home | alita555 | ALE_Finalproject_bioinf | QC | fastqc_results | 59-b_S14_L001_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.00033227117314983104)	(5, 0.00033227117314983104)	(6, 0.00033227117314983104)	(7, 0.0006645423462996621)	(8, 0.0006645423462996621)	(9, 0.0006645423462996621)	(10, 0.0008306779328745777)	(12, 0.0011629491060244088)	(14, 0.002325898212048817)	(16, 0.002325898212048817)	(18, 0.002325898212048817)	(20, 0.002325898212048817)	(22, 0.002325898212048817)	(24, 0.002325898212048817)	(26, 0.002325898212048817)	(28, 0.002325898212048817)	(30, 0.002325898212048817)	(32, 0.002325898212048817)	(34, 0.002325898212048817)	(36, 0.002325898212048817)	(38, 0.002325898212048817)	(40, 0.002325898212048817)	(42, 0.002325898212048817)	(44, 0.002325898212048817)	(46, 0.002325898212048817)	(48, 0.002325898212048817)	(50, 0.002325898212048817)	(52, 0.002325898212048817)	(54, 0.0026581693851986483)	(56, 0.0026581693851986483)	(58, 0.0026581693851986483)	(60, 0.0029904405583484795)	(62, 0.0033227117314983106)	(64, 0.0036549829046481413)	(66, 0.008805186088470522)	(68, 0.27860937868613334)	(70, 0.5520685541884442)	(72, 0.6620503125010384)	(74, 0.8936433201864706)	(76, 5.080426237460917)	(78, 5.106841795726329)	(80, 5.1261135237690185)	(82, 5.141065726560761)	(84, 5.150037048235806)	(86, 5.159506776670577)	(88, 5.166650606893297)	(90, 5.173129894769719)	(92, 5.178612369126691)	(94, 5.186586877282288)	(96, 5.209347452643051)	(98, 5.219647859010696)	(100, 5.23094507889779)	(102, 5.242408434371459)	(104, 5.266331958838247)	(106, 5.304875414923627)	(108, 5.359534022906775)	(110, 5.420007376420044)	(112, 5.483471170491661)	(114, 5.548596320429029)	(116, 5.650935841759177)	(118, 5.813914852189169)	(120, 5.980050438764085)	(122, 6.147847381204748)	(124, 6.33275628906263)	(126, 6.557039330938766)	(128, 6.818869015380833)	(130, 7.114590359484183)	(132, 7.4528424137507105)	(134, 7.772985689080572)
/ | home | alita555 | ALE_Finalproject_bioinf | QC | fastqc_results | 59-b_S14_L001_R2_001 - illumina_universal_adapter	(1, 0.002325898212048817)	(2, 0.0026581693851986483)	(3, 0.01960399921584003)	(4, 0.02259443977418851)	(5, 0.02492033798623733)	(6, 0.031233490276084117)	(7, 0.03256257496868344)	(8, 0.03355938848813293)	(9, 0.03555301552703192)	(10, 0.0395402696048299)	(12, 0.04319525250947803)	(14, 0.04685023541412618)	(16, 0.051003625078499065)	(18, 0.054824743569722126)	(20, 0.07426260719898724)	(22, 0.08306779328745775)	(24, 0.08971321675045438)	(26, 0.09752158931947541)	(28, 0.11297219887094256)	(30, 0.13922162154977918)	(32, 0.1864041281370552)	(34, 0.23940138025445326)	(36, 0.2905711409195273)	(38, 0.3432361218637755)	(40, 0.42879594894985695)	(42, 0.5776534345209812)	(44, 0.7333224791416771)	(46, 0.8840074561651254)	(48, 1.0493123648071665)	(50, 1.2382085267428453)	(52, 1.4920637030293165)	(54, 1.7612033532806795)	(56, 2.059250595596078)	(58, 2.3818859047245637)	(60, 2.7380806023411823)	(62, 3.1824932964290817)	(64, 3.6568103961004654)	(66, 4.164022341913682)	(68, 4.70844865911968)	(70, 5.312517651906074)	(72, 5.961277117481119)	(74, 6.671174478915733)	(76, 7.4471938038071634)	(78, 8.214574078196698)	(80, 9.037942045261978)	(82, 9.95999455075276)	(84, 10.961293731039778)	(86, 11.96957060596294)	(88, 12.9314956522317)	(90, 13.941433883020611)	(92, 15.0449064490512)	(94, 16.21134440239368)	(96, 17.39622340584598)	(98, 18.568476104718584)	(100, 19.780933615542317)	(102, 21.008675600330943)	(104, 22.28742121019807)	(106, 23.538588312693754)	(108, 24.785103618765348)	(110, 26.00420655305208)	(112, 27.204702301642413)	(114, 28.439089709894038)	(116, 29.6924165750152)	(118, 30.84689276612429)	(120, 31.937406756402034)	(122, 33.01147332360887)	(124, 34.06394226456095)	(126, 35.08783588462216)	(128, 36.01786289826853)	(130, 36.851697407288036)	(132, 37.64067530793231)	(134, 38.247900876863625)
/ | home | alita555 | ALE_Finalproject_bioinf | QC | fastqc_results | 59-b_S14_L001_R2_001 - polyg	(1, 5.030585561488442)	(2, 5.0325791885273405)	(3, 5.0325791885273405)	(4, 5.0329114597004905)	(5, 5.03523735791254)	(6, 5.035901900258839)	(7, 5.036566442605139)	(8, 5.037230984951439)	(9, 5.040553696682937)	(10, 5.0453716286936094)	(12, 5.05218318774318)	(14, 5.05318000126263)	(16, 5.053346136849205)	(18, 5.05384454360893)	(20, 5.055672035061255)	(22, 5.057001119753854)	(24, 5.0573333909270035)	(26, 5.057997933273303)	(28, 5.058164068859878)	(30, 5.058164068859878)	(32, 5.058164068859878)	(34, 5.058164068859878)	(36, 5.058330204446452)	(38, 5.058662475619602)	(40, 5.059327017965902)	(42, 5.059991560312202)	(44, 5.060157695898777)	(46, 5.060157695898777)	(48, 5.060157695898777)	(50, 5.060489967071927)	(52, 5.060822238245077)	(54, 5.061486780591376)	(56, 5.064975627909449)	(58, 5.069295153160397)	(60, 5.071454915785871)	(62, 5.072950136065045)	(64, 5.074279220757645)	(66, 5.076106712209969)	(68, 5.078266474835443)	(70, 5.08358281360584)	(72, 5.089895965895687)	(74, 5.097870474051282)	(76, 5.108337016005502)	(78, 5.12212626969122)	(80, 5.153858166727029)	(82, 5.180107589405866)	(84, 5.211174944095376)	(86, 5.235264604148738)	(88, 5.2578590439229265)	(90, 5.287265042746686)	(92, 5.32763599028439)	(94, 5.37863961536289)	(96, 5.431969138653438)	(98, 5.505899474679275)	(100, 5.586142962994959)	(102, 5.686488857286209)	(104, 5.793480175040454)	(106, 5.90927667888317)	(108, 6.067271621715914)	(110, 6.238557411474653)	(112, 6.448552792905346)	(114, 6.693602783103346)	(116, 6.930179858386026)	(118, 7.18918523785632)	(120, 7.524446851564498)	(122, 7.888948328509864)	(124, 8.256772517186725)	(126, 8.642207078040531)	(128, 9.022823706883663)	(130, 9.3921431158397)	(132, 9.760797982449436)	(134, 10.07927990191355)
